apn,recordid,busdesc,b1_per_sub_type,dba,naics,tax_code,employee_num,bus_own_type,b1_business_name,b1_address1,b1_city,b1_state,b1_zip,b1_contact_type,b1_full_address,b1_situs_city,b1_situs_state,b1_situs_zip
057 202501001,BL-014262,MUNICIPAL ADVISORY SVCS,Professional SemiProfessional,KNN PUBLIC FINANCE LLC,523930 - Investment Advice,P,14,Corporation,KNN PUBLIC FINANCE LLC,2001 ADDISON ST STE 100,BERKELEY,CA,94704,Business Owner,2001 ADDISON St,BERKELEY,CA,94704
057 205800605,BL-014263,PSYCHOTHERAPY PRACTICE,Professional SemiProfessional,GLEICHER SHARI,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,GLEICHER SHARI,"1918 Bonita Ave, Ste 200",Berkeley,CA,94704,Business Owner,1918 BONITA Ave,BERKELEY,CA,94704
057 201602501,BL-014265,PUBLIC ACCOUNTING FIRM,Professional SemiProfessional,BREGANTE + COMPANY LLP,541211 - Offices of Certified Public Accountants,P,1,Partnership,BREGANTE + COMPANY LLP,330 IGNACIO BLVD STE 201,NOVATO,CA,94949,Business Owner,1834 UNIVERSITY Ave,BERKELEY,CA,94703
058 219100103,BL-014266,CUT & COLOR HAIR,Business Personal Repair Svs,LA PETITE HAIR SALON,812112 - Beauty Salons,B,0,Sole Ownership,LA PETITE HAIR SALON,182 24TH ST,RICHMOND,CA,94804-1802,Business Owner,1816 EUCLID Ave,BERKELEY,CA,94709
059 228200700,BL-014267,CREATIVE CONSULTING SVC,Professional SemiProfessional,HIDDENTXT,541490 - Other Specialized Design Services,P,0,Sole Ownership,HIDDENTXT,1719 VINE ST,BERKELEY,CA,947031129,Business Owner,1719 VINE St,BERKELEY,CA,94703
053 161101300,BL-014270,RENTAL PROPERTY- 6 UNITS,Rental of Real Property,RA7 3 LLC,531110 - Lessors of Residential Buildings and Dwellings,L,2,LLC,RA7 3 LLC,545 57TH ST,OAKLAND,CA,94609,Business Owner,1521 ASHBY AVE,BERKELEY,CA,94703
054 177800202,BL-014274,LAW FIRM,Professional SemiProfessional,"GOULD, HAHN & REINHARDT PLC",541110 - Offices of Lawyers,P,6,Partnership,"GOULD, HAHN & REINHARDT PLC",2550 9TH ST STE 101,BERKELEY,CA,94710-2551,Business Owner,2550 NINTH St,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-014282,LATH & PLASTER CONTRACTOR,Construction or Contractor,VALDEZ PLASTERING INC,"238190 - Other Foundation, Structure, and Building Exterior Contractors",C,20,Corporation,VALDEZ PLASTERING INC,2400 ALHAMBRA BLVD,SACRAMENTO,CA,95817-1125,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014284,CONSTRUCTION,Construction or Contractor,NV CONSTRUCTION LLC,236118 - Residential Remodelers,C,5,LLC,NV CONSTRUCTION LLC,51 WASHINGTON AVE STE C,RICHMOND,CA,94801-3767,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 189700200,BL-014294,FINANCIAL MANAGEMENT,Professional SemiProfessional,VOLEON CAPITAL MANAGEMENT LP,523920 - Portfolio Management,P,146,Partnership,VOLEON CAPITAL MANAGEMENT LP,"1919 SHATTUCK AVE, Floor 7",BERKELEY,CA,947042076,Business Owner,2484 SHATTUCK Ave,BERKELEY,CA,94704
056 195901100,BL-014295,ARCHITECTURAL DESIGN SVC,Professional SemiProfessional,JT ARCHITECTURE & DESIGN,541310 - Architectural Services,P,0,Sole Ownership,JT ARCHITECTURE & DESIGN,733 ALLSTON WAY,BERKELEY,CA,947102229,Business Owner,733 ALLSTON Way,BERKELEY,CA,94710
055 183500700,BL-014298,DENTIST,Professional SemiProfessional,"KATSURA, KHALIL, NAKAZATO, KHO",621210 - Offices of Dentists,P,29,Corporation,"KATSURA, KHALIL, NAKAZATO, KHO",2640 TELEGRAPH AVE STE 101,BERKELEY,CA,947043374,Business Owner,2640 TELEGRAPH AVE,BERKELEY,CA,94704
059 231300100,BL-014303,CRAFT/HOBBY - ONLINE,Retail Trade,EVERYDAY EXPLORERS CO,453998 - All Other Miscellaneous Store Retailers (except Tobacco Stores),R,1,Sole Ownership,EVERYDAY EXPLORERS CO,900 JONES ST,BERKELEY,CA,947102534,Business Owner,900 JONES St,BERKELEY,CA,94710
059 225502000,BL-014304,APARTMENT BUILDING,Rental of Real Property,SPANISH VILLA APARTMENTS LLC,531110 - Lessors of Residential Buildings and Dwellings,L,1,LLC,SPANISH VILLA APARTMENTS LLC,1301 MARINA VILLAGE PKWY STE 240,ALAMEDA,CA,94501,Business Owner,1525 SPRUCE St,BERKELEY,CA,94709
061 255104101,BL-014308,RENTAL PROPERTY,Rental of Real Property,WRIGHT MELVYN C H,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,WRIGHT MELVYN C H,1136 EUCLID AVE,BERKELEY,CA,94708-1603,Business Owner,1134 EUCLID AVE,BERKELEY,CA,94708
ZZZZZZZZZZZZZ,BL-014314,GENERAL CONTRACTOR,Construction or Contractor,CHRISTOPHER ATKINS CONSTRUCTION SERVICES,236118 - Residential Remodelers,C,4,Sole Ownership,CHRISTOPHER ATKINS CONSTRUCTION SERVICES,14360 BEAR CREEK RD,BOULDER CREEK,CA,95006-9529,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014320,ENVIRONMENTAL CONSULTING,Professional SemiProfessional,FIRSTCARBON SOLUTIONS INC,541620 - Environmental Consulting Services,P,1,Corporation,FIRSTCARBON SOLUTIONS INC,250 COMMERCE STE 210,IRVINE,CA,926021348,Business Owner,0 VARIOUS,BERKELEY,CA,94704
061 260300400,BL-014321,COMMERCIAL RENTAL STORE,Rental of Real Property,HENRY D WEISS TRUST,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,Sole Ownership,HENRY D WEISS TRUST,PO BOX 6790,SAN MATEO,CA,94403,Business Owner,1888 SOLANO AVE,BERKELEY,CA,94707
ZZZZZZZZZZZZZ,BL-014327,STORAGE UNIT INSTALLATION,Construction or Contractor,THE SHED SHOP,238990 - All Other Specialty Trade Contractors,C,3,Corporation,THE SHED SHOP,3201 DIABLO AVE,HAYWARD,CA,94545-2701,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014328,BATHROOM/KITCHEN REMODEL,Construction or Contractor,MERLYN CONSTRUCTION,213111 - Drilling Oil and Gas Wells,C,2,Sole Ownership,MERLYN CONSTRUCTION,14 7TH ST,RICHMOND,CA,94801-3512,Business Owner,0 VARIOUS,BERKELEY,CA,94704
061 257101500,BL-014330,PHOTOGRAPHY,Professional SemiProfessional,ERIN SCOTT PHOTOGRAPHY,541922 - Commercial Photography,P,3,LLC,ERIN SCOTT PHOTOGRAPHY,1948A MARIN AVE,BERKELEY,CA,94707-2442,Business Owner,1948 MARIN Ave,BERKELEY,CA,94707
054 173500300,BL-014337,TRAVEL ADVISOR,Business Personal Repair Svs,FEARLESS JOURNEYS TRAVEL LLC,561510 - Travel Agencies,B,1,LLC,FEARLESS JOURNEYS TRAVEL LLC,1422 DERBY ST,BERKELEY,CA,94702-2311,Business Owner,1422 DERBY St,BERKELEY,CA,94702
055 190300900,BL-014338,PSYCHOTHERAPY,Professional SemiProfessional,NEDA EHYA LMFT,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,NEDA EHYA LMFT,2422 MCKINLEY AVE APT A,BERKELEY,CA,947031950,Business Owner,2422 MCKINLEY Ave,BERKELEY,CA,94703
056 198503000,BL-014341,RENTAL PROPERTY 3 UNITS,Rental of Real Property,RAJA RAJALANGAM & RAJALINGAM VICTORIA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,RAJA RAJALANGAM & RAJALINGAM VICTORIA,1730 33RD AVE,SAN FRANCISCO,CA,941224104,Business Owner,2109 BYRON St,BERKELEY,CA,94702
054 181400800,BL-014343,RENTAL PROPERTY - 4 UNITS,Rental of Real Property,DASARI RAJ V,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,DASARI RAJ V,1823 BLAKE ST,BERKELEY,CA,94703-1903,Business Owner,1823 BLAKE St,BERKELEY,CA,94703
052 156702401,BL-014348,COMMERCIAL RENTAL,Rental of Real Property,JCJ9 PROPERTY MANAGEMENT LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,JCJ9 PROPERTY MANAGEMENT LLC,2207 KRUEGER DR,CONCORD,CA,94520,Business Owner,2901 COLLEGE AVE,BERKELEY,CA,94705
ZZZZZZZZZZZZZ,BL-014351,JOINT TRENCH CONTR,Construction or Contractor,HUDSON EXCAVATION INC,238990 - All Other Specialty Trade Contractors,C,6,Corporation,HUDSON EXCAVATION INC,PO BOX 1208,BRENTWOOD,CA,945133208,Business Owner,0 VARIOUS,BERKELEY,CA,94704
060 239701200,BL-014357,RENTAL PROPERTY/3 UNITS,Rental of Real Property,WELLS BERNARD,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,WELLS BERNARD,1335 ALCATRAZ AVE,BERKELEY,CA,94702-2605,Business Owner,1425 KAINS AVE,BERKELEY,CA,94702
058 218206100,BL-014361,GLASS JARS WITH LIDS,Wholesale Trade,SMOOTHEE INC,424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers,W,3,Corporation,SMOOTHEE INC,PO BOX 548,BERKELEY,CA,947010548,Business Owner,1839 SPRUCE St,BERKELEY,CA,94709
053 164700202,BL-014362,AUTO SERVICE,Business Personal Repair Svs,WEATHERFORD BMW (AUTO SERVICE),811111 - General Automotive Repair,B,26,Corporation,WEATHERFORD BMW (AUTO SERVICE),1936 MARKET ST,CONCORD,CA,94520,Business Owner,735 ASHBY AVE,BERKELEY,CA,94710
058 213402500,BL-014367,FALSE STRIP EYELASHES,Retail Trade,PHINE$ LASHE$,"446120 - Cosmetics, Beauty Supplies, and Perfume Stores",R,0,Sole Ownership,PHINE$ LASHE$,1731 CURTIS ST,BERKELEY,CA,947021348,Business Owner,1731 CURTIS St,BERKELEY,CA,94702
059 225701200,BL-014370,RES RENTAL PROPERTY,Rental of Real Property,1426 SPRUCE STREET LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,1426 SPRUCE STREET LLC,"3225 McLeod Dr, Suite 100",Las Vegas,NV,891212257,Business Owner,1426 SPRUCE St,BERKELEY,CA,94709
ZZZZZZZZZZZZZ,BL-014373,ELECTRICAL CONTRACTOR,Construction or Contractor,H5 ELECTRIC INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2,Corporation,H5 ELECTRIC INC,205 FERNWOOD WAY,DIXON,CA,95620-3720,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014375,BUILDING CONTRACTOR,Construction or Contractor,ALAMEDA STRUCTUAL INC,236116 - New Multifamily Housing Construction (except For-Sale Builders),C,4,Corporation,ALAMEDA STRUCTUAL INC,23 SHEPARDSON LN,ALAMEDA,CA,94502-6573,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014377,HEAT & AC CONTRACTOR,Construction or Contractor,AIR SYNERGY INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,5,Corporation,AIR SYNERGY INC,600 CUMBERLAND ST,PITTSBURG,CA,94565-2339,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 185300900,BL-014378,RENTAL PROPERTY 3 UN,Rental of Real Property,WARD ROBERT P,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,WARD ROBERT P,36 PANORAMIC WAY,BERKELEY,CA,94704,Business Owner,36 PANORAMIC WAY,BERKELEY,CA,94704
053 169202700,BL-014382,RENTAL COMMERCIAL,Rental of Real Property,WONG LYDIA,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,1,Sole Ownership,WONG LYDIA,475 EL CAMINO REAL STE 401,MILBRAE,CA,94030,Business Owner,2811 TELEGRAPH AVE,BERKELEY,CA,94705
058 212701403,BL-014383,RENTAL PROPERTY,Rental of Real Property,1740 SAN PABLO HOUSING LP,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,1740 SAN PABLO HOUSING LP,600 CALIFORNIA ST FL 900,SAN FRANCISCO,CA,94108-9800,Business Owner,1740 SAN PABLO Ave,BERKELEY,CA,94702
ZZZZZZZZZZZZZ,BL-014386,COMMERCIAL LANDSCAPING,Business Personal Repair Svs,JJ NGUYEN INC,561730 - Landscaping Services,B,1,Corporation,JJ NGUYEN INC,530 STOCKTON AVE,SAN JOSE,CA,951261038,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014387,CONSTRUCTION - SOLAR,Construction or Contractor,NATIONWIDE SUN,236118 - Residential Remodelers,C,5,Corporation,NATIONWIDE SUN,4470 YANKEE HILL RD STE 200,ROCKLIN,CA,95677-1631,Business Owner,0 VARIOUS,BERKELEY,CA,94704
056 194301901,BL-014388,COMMERCIAL RENTAL PROP,Rental of Real Property,WOLFMAN G & C,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,1,Sole Ownership,WOLFMAN G & C,192 CYPRESS POINT WAY,MORAGA,CA,94556-1131,Business Owner,2431 FIFTH ST,BERKELEY,CA,94710
ZZZZZZZZZZZZZ,BL-014391,"DRAFTING, DESIGN, ENG",Professional SemiProfessional,BRETT O'BRIEN ENGINEERING & DESIGN,541330 - Engineering Services,P,1,Sole Ownership,BRETT O'BRIEN ENGINEERING & DESIGN,2457 GOLD ST,REDDING,CA,960012416,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014392,SWPPP/SPCP PREP/INSPECT,Professional SemiProfessional,TULLY LLC DBA TULLY CONSULTING GROUP,541620 - Environmental Consulting Services,P,30,Corporation,TULLY LLC DBA TULLY CONSULTING GROUP,1650 N LINCOLN ST STE A,DIXON,CA,956209272,Business Owner,0 VARIOUS,BERKELEY,CA,94704
059 234602100,BL-014399,PERSONAL ARTIST STUDIO,Retail Trade,MIKI MASAKO,453920 - Art Dealers,R,0,Sole Ownership,MIKI MASAKO,1318 4TH ST,BERKELEY,CA,947101347,Business Owner,1318 FOURTH St,BERKELEY,CA,94710
058 217801800,BL-014400,TRAVEL AGENCY,Business Personal Repair Svs,GOING PLACES TRAVEL INC,561510 - Travel Agencies,B,4,Corporation,GOING PLACES TRAVEL INC,1677 SHATTUCK AVE,BERKELEY,CA,947091611,Business Owner,1677 SHATTUCK Ave,BERKELEY,CA,94709
060 244802400,BL-014403,RES. RENTAL - 5 UNITS,Rental of Real Property,SHYU ING-FUEI/YU-ER,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,SHYU ING-FUEI/YU-ER,3132 COLLEGE AVE,BERKELEY,CA,94705,Business Owner,1327 M L KING JR WAY,BERKELEY,CA,94709
059 226001900,BL-014405,COMMERCIAL RENTAL,Rental of Real Property,WARD DAWN D,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,4,Sole Ownership,WARD DAWN D,17 DIAS DORADOS,ORINDA,CA,94563,Business Owner,1525 SHATTUCK AVE,BERKELEY,CA,94709
057 202901001,BL-014407,RESTAURANT,Retail Trade,LITTLE PLEARN LLC,722511 - Full-Service Restaurants,R,22,LLC,LITTLE PLEARN LLC,2283 SHATTUCK AVE,BERKELEY,CA,94704-1432,Business Owner,2283 SHATTUCK Ave,BERKELEY,CA,94704
059 227001200,BL-014408,RESIDENTIAL RENTAL,Rental of Real Property,WONG WAI KEUNG,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,WONG WAI KEUNG,1430 MLK JR WAY APT 4,BERKELEY,CA,94709-1944,Business Owner,1430 M L KING JR WAY,BERKELEY,CA,94709
ZZZZZZZZZZZZZ,BL-014410,UTILITY USER PROVIDER,Business Personal Repair Svs,SBC LONG DISTANCE LLC,813910 - Business Associations,B,0,Corporation,SBC LONG DISTANCE LLC,1010 PINE ST 9TH FL RM 9E-BL,ST LOUIS,MO,63101,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014411,UTILITY USER PROVIDER,Business Personal Repair Svs,"AT&T ENTERPRISES, LLC",813910 - Business Associations,B,0,Corporation,"AT&T ENTERPRISES, LLC",1010 PINE ST 9TH FL RM 9E-BL,ST LOUIS,MO,63101,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014412,UTILITY USER PROVIDER,Business Personal Repair Svs,PACIFIC BELL TELEPHONE COMPANY,813910 - Business Associations,B,0,Corporation,PACIFIC BELL TELEPHONE COMPANY,1010 PINE ST 9TH FL RM 9E-BL,ST LOUIS,MO,63101,Business Owner,0 VARIOUS,BERKELEY,CA,94704
056 198502900,BL-014413,RENTAL PROPERTY 3 UNITS,Rental of Real Property,RAJA RAJALINGAM & RAJALINGAM VICTORIA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,RAJA RAJALINGAM & RAJALINGAM VICTORIA,1730 33RD AVE,SAN FRANCISCO,CA,941224104,Business Owner,2111 BYRON St,BERKELEY,CA,94702
ZZZZZZZZZZZZZ,BL-014415,"REMODELING, REPAIRS",Construction or Contractor,TACOMA CONSTRUCTION INC,236118 - Residential Remodelers,C,6,Corporation,TACOMA CONSTRUCTION INC,664 ELISE AVE,SAN LEANDRO,CA,94577,Business Owner,0 VARIOUS,BERKELEY,CA,94704
057 202501001,BL-014417,ADMIN HQ - DATA STORAGE,Administrative Headquarters,ALTINITY INC,561110 - Office Administrative Services,Q,1,Corporation,ALTINITY INC,2001 ADDISON ST STE 300,BERKELEY,CA,94704-1165,Business Owner,2001 ADDISON St,BERKELEY,CA,94704
056 192400900,BL-014420,RES. RENTAL - 5 UNITS,Rental of Real Property,ARK7 PROPERTIES LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,ARK7 PROPERTIES LLC,"530 Shower Dr, Ste 7, #291",Mountain View,CA,94040,Business Owner,2314 BONAR St,BERKELEY,CA,94702
ZZZZZZZZZZZZZ,BL-014422,HEATING & AC INSTALL,Construction or Contractor,ABSOLUTE AIR SOLUTIONS,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,3,Sole Ownership,ABSOLUTE AIR SOLUTIONS,26349 REGAL AVE,HAYWARD,CA,94544-3105,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 152800800,BL-014426,RES RENTAL PROPERTY,Rental of Real Property,PHELPS JOHN & CELINA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,PHELPS JOHN & CELINA,2941 TELEGRAPH AVE,BERKELEY,CA,94705-2017,Business Owner,1885 ALCATRAZ Ave,BERKELEY,CA,94703
052 157202000,BL-014427,RENTAL PROPERTY,Rental of Real Property,SORKIN SAMUEL & BECKERMAN CRAIG,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,SORKIN SAMUEL & BECKERMAN CRAIG,2941 TELEGRAPH AVE,BERKELEY,CA,94705-2017,Business Owner,2941 TELEGRAPH Ave,BERKELEY,CA,94705
ZZZZZZZZZZZZZ,BL-014429,FOOD & BEVERAGE,Wholesale Trade,ITALFOODS INC,424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers,W,0,Corporation,ITALFOODS INC,205 SHAW RD,S SAN FRAN,CA,940806605,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014431,AUTISM TREATMENT SERVICES,Professional SemiProfessional,BEHAVIORAL INTERVENTION ASSOCIATION,621330 - Offices of Mental Health Practitioners (except Physicians),P,22,Corporation,BEHAVIORAL INTERVENTION ASSOCIATION,6333 TELEGRAPH AVE STE 102,OAKLAND,CA,94609-1359,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014434,SCAFFOLDING CONTRACTOR,Construction or Contractor,ONE SCAFFOLDING INC,236220 - Commercial and Institutional Building Construction,C,4,Corporation,ONE SCAFFOLDING INC,2333 W AVENUE 133RD,SAN LEANDRO,CA,94577-4107,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014435,SEAL CRACKS & SLURRY SEAL,Construction or Contractor,GRAHAM CONTRACTORS INC,238990 - All Other Specialty Trade Contractors,C,10,Corporation,GRAHAM CONTRACTORS INC,PO BOX 26770,SAN JOSE,CA,951596770,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014437,SOLAR CONTRACTOR,Construction or Contractor,CORDA SOLAR LLC,238990 - All Other Specialty Trade Contractors,C,5,LLC,CORDA SOLAR LLC,523 San Ramon Valley Blvd,DANVILLE,CA,94526,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014438,GENERAL CONTRACTOR,Construction or Contractor,WCI-GC,236116 - New Multifamily Housing Construction (except For-Sale Builders),C,70,Corporation,WCI-GC,101 YGNACIO VALLEY RD STE 105,WALNUT CREEK,CA,94596-4006,Business Owner,0 VARIOUS,BERKELEY,CA,94704
052 156702401,BL-014445,"CLOTHING, JEWELRY, ACCS",Retail Trade,METHOK PEMA,448150 - Clothing Accessories Stores,R,0,LLC,METHOK PEMA,2903 COLLEGE AVE,BERKELEY,CA,947052203,Business Owner,2903 COLLEGE Ave,BERKELEY,CA,94705
ZZZZZZZZZZZZZ,BL-014447,ELECTRICAL CONTRACTOR,Construction or Contractor,CA ELECTRICAL GROUP 24/7,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,4,Corporation,CA ELECTRICAL GROUP 24/7,780 MONTAGUE EXPWY #203,SAN JOSE,CA,95131-1035,Business Owner,0 VARIOUS,BERKELEY,CA,94704
053 158901500,BL-014449,PSYCHOTHERAPY SERVICES,Professional SemiProfessional,MCLACHLAN PSYCHOTHERAPY,621330 - Offices of Mental Health Practitioners (except Physicians),P,1,Sole Ownership,MCLACHLAN PSYCHOTHERAPY,2991 SHATTUCK AVE STE 302,BERKELEY,CA,947051872,Business Owner,2991 SHATTUCK Ave,BERKELEY,CA,94707
057 203300400,BL-014450,FAST FOOD CHAIN,Retail Trade,SUBWAY,722513 - Limited-Service Restaurants,R,4,LLC,SUBWAY,"92 SHATTUCK SQ, SHOP#6",BERKELEY,CA,94704,Business Owner,2048 KALA BAGAI Way,BERKELEY,CA,94704
059 229202202,BL-014451,BOOKKEEPING SERVICES,Professional SemiProfessional,ROIHA HELI,541219 - Other Accounting Services,P,1,Sole Ownership,ROIHA HELI,1608 CHESTNUT ST,BERKELEY,CA,947021430,Business Owner,1608 CHESTNUT St,BERKELEY,CA,94702
056 200702401,BL-014455,ALTERNATIVE HEALING,Professional SemiProfessional,POWER TO THE HEALING,621399 - Offices of All Other Miscellaneous Health Practitioners,P,1,Sole Ownership,POWER TO THE HEALING,2708 Webster St. Apt 4,BERKELEY,CA,947031605,Business Owner,1607 BANCROFT Way,BERKELEY,CA,94703
059 227902000,BL-014457,PSYCHOTHERAPY PRACTICE,Professional SemiProfessional,LORIA MARI,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,LORIA MARI,1613 JAYNES ST,BERKELEY,CA,94703-1038,Business Owner,1613 JAYNES St,BERKELEY,CA,94703
052 157401404,BL-014458,PARKING LOT,Business Personal Repair Svs,UNIPARK LLC,812930 - Parking Lots and Garages,B,2,LLC,UNIPARK LLC,1511M SYCAMORE AVE # 262,HERCULES,CA,945471706,Business Owner,3000 COLBY St,BERKELEY,CA,94705
061 256801300,BL-014461,SERVICE STATION,Retail Trade,XTRA OIL CO,447190 - Other Gasoline Stations,R,4,Corporation,XTRA OIL CO,2307 PACIFIC AVE,ALAMEDA,CA,94501-2918,Business Owner,1201 THE ALAMEDA,BERKELEY,CA,94709
ZZZZZZZZZZZZZ,BL-014464,RENTAL/SALES COPY EQUIP,Business Personal Repair Svs,XEROX CORPORATION,532420 - Office Machinery and Equipment Rental and Leasing,B,0,Corporation,XEROX CORPORATION,251 LITTLE FALLS DR,WILMINGTON,DE,19808 167,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014467,PSYCHOLOGICAL SERVICES,Professional SemiProfessional,FOCUSED BEHAVIORAL SOLUTIONS,621330 - Offices of Mental Health Practitioners (except Physicians),P,1,Corporation,FOCUSED BEHAVIORAL SOLUTIONS,2625 ALCATRAZ AVE # 113,BERKELEY,CA,947052702,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014468,CONTRACTOR,Construction or Contractor,PELLA DOORS & WINDOWS OF NORTHERN CALIFORNIA,238990 - All Other Specialty Trade Contractors,C,4,Corporation,PELLA DOORS & WINDOWS OF NORTHERN CALIFORNIA,2251 CLAREMONT CT,HAYWARD,CA,945455001,Business Owner,0 VARIOUS,BERKELEY,CA,94704
ZZZZZZZZZZZZZ,BL-014471,PLUMBING CONTRACTOR,Construction or Contractor,R2 MECHANICAL INC,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,4,Corporation,R2 MECHANICAL INC,4820 E 2ND ST,BENICIA,CA,945101023,Business Owner,0 VARIOUS,BERKELEY,CA,94704
055 190503201,BL-014472,RES. RENTAL - 7 UNITS,Rental of Real Property,YEE WAH K/W C H,531110 - Lessors of Residential Buildings and Dwellings,L,0,Partnership,YEE WAH K/W C H,828 BAY ST APT 3,SAN FRANCISCO,CA,94109-1236,Business Owner,2313 ROOSEVELT AVE,BERKELEY,CA,94703
ZZZZZZZZZZZZZ,BL-014473,ELECTRICAL CONTRACTOR,Construction or Contractor,S O T ELECTRIC INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2,Corporation,S O T ELECTRIC INC,787 QUARTZ LN,VALLEJO,CA,94589-2192,Business Owner,0 VARIOUS,BERKELEY,CA,94704
054 180900700,BL-014475,RES. RENTAL - 5 UNITS,Rental of Real Property,YAMAGATA ARTHUR I/A Y,531110 - Lessors of Residential Buildings and Dwellings,L,1,Sole Ownership,YAMAGATA ARTHUR I/A Y,17950 CARRIGER RD,SONOMA,CA,95476-4007,Business Owner,1735 CARLETON ST,BERKELEY,CA,94703
052 156706800,BL-014479,REAL ESTATE BROKER,Professional SemiProfessional,GOLDEN GATE SOTHEBY'S INTERNATIONAL REALTY,522310 - Mortgage and Nonmortgage Loan Brokers,P,1,Corporation,GOLDEN GATE SOTHEBY'S INTERNATIONAL REALTY,100 TIBURON BLVD STE 100,MILL VALLEY,CA,949415112,Business Owner,2961 COLLEGE Ave,BERKELEY,CA,94705
056 201002900,BL-014480,REMODELING CONTRACTOR,Construction or Contractor,TALIOR CONSTRUCTION INC,236118 - Residential Remodelers,C,1,Corporation,TALIOR CONSTRUCTION INC,4317 SANTA RITA RD,EL SOBRANTE,CA,94803-2308,Business Owner,2111 MCGEE Ave,BERKELEY,CA,94703
055 187800501,BL-014484,FROZEN YOGURT-RETAIL,Retail Trade,YOGURT PARK INC,722110,R,14,Corporation,YOGURT PARK INC,PO BOX 199,ALAMO,CA,94507,Business Owner,2433 DURANT AVE,BERKELEY,CA,94704
061 260200800,BL-014485,HAIR SALON & TOYS,Business Personal Repair Svs,SNIPPETY CRICKETS,812112 - Beauty Salons,B,0,Sole Ownership,SNIPPETY CRICKETS,815 W GRAND AVE,OAKLAND,CA,94607-3447,Business Owner,1753 SOLANO Ave,BERKELEY,CA,94707
056 193802800,BL-014487,PHOTOGRAPHY SERVICES,Professional SemiProfessional,"CLAUDINE GOSSETT PHOTOGRAPHY, LLC","541921 - Photography Studios, Portrait",P,1,LLC,"CLAUDINE GOSSETT PHOTOGRAPHY, LLC",2411 SAN MATEO ST,RICHMOND,CA,94710,Business Owner,2327 SEVENTH St,BERKELEY,CA,94710
