"File Date","Status","Record Number","Record Type","Address","Description","Short Notes",
"06/22/2026","Intake - Completed","X2600531","DOT - Excavation (X)","6520 MACARTHUR BLVD, Oakland CA 94605","PM 35717907-PG&E to replace two joint poles in same hole sets, OH services, risers, OH transformer, install OH messenger and remove idle conductor.  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/22/2026","On Hold","B2601770","(B) - Building Alteration - 3+ Residential Units or Commercial (Building)","22 MOSS AVE, Oakland CA 94610","At a condo unit to replace 3 (E) retrofit windows.1-Living room, 2-Kitchen. ZW2601474",,
"06/22/2026","On Hold - Field Check Pending","RBC2601769","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","947 56TH ST, Oakland CA 94608","At existing Duplex: to legalize removal of 16sf unpermitted shed space attached to rear deck. Legalize rear deck addition. Related mechanical, electrical, plumbing included. To included 2 gas tankless water heater, electrical circuits/receptacles replacements servicing units, installation of new gas supply line, update water lines, and vertical relocation of (E) heater units. Window replacements in-kind. To abate code enforcement no 2101124",,
"06/22/2026","Created","OB2600750","Obstruction","2608 MYRTLE ST, Oakland CA 94607","Alten Construction PM 2607 Myrtle St; Related Permit: PX2500033; Utility work for new PG&E Service to serve McClymonds High School.  The power pole to where the service will be pulled from is located on 26th St. between Linden St and Filbert St.  Trenching 120' x 2' x 4'.    Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. Schedule INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/22/2026","Intake - Completed","X2600529","DOT - Excavation (X)","1302 31ST AVE, Oakland CA 94601","PG&E PM 35336761 Permit for restoration for previous pole replacement. Park in public ROW and TCP.  Trenching approx. 4' x 4'.  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/22/2026","Intake - Completed","X2600528","DOT - Excavation (X)","5100 PARKRIDGE DR, Oakland CA 94619","PG&E PM 35696402- PG&E to replace UG primary, UG secondary, and secondary boxes. PG&E to trench and restore. Locations 1-14 on drawing (application 1 of 2).  Trenching 1,238' x 18"" x 40"".  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/22/2026","Created","RBC2601768","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","911 LONGRIDGE RD, Oakland CA 94610","At existing SFD remodel (3) bathrooms and the kitchen including reconfiguration of the layouts and walls.  At 2nd floor use portion of bedroom 1 closet to create a new laundry closet.  At east side yard rebuild 102sf deck and stairs, repair stucco, replace windows, and trash enclosure.Residential remodel including three existing restrooms and one kitchen. There is no additional area added to the home. replace existing deck.",,
"06/22/2026","Permit Issued","SL2601194","(SL) - Sewer Lateral (OPW)","818 58TH ST, OAKLAND CA 94608","NEW/ADU building sewer ON PROPERTY ONLY. SL & X required beyond PL. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. USA # and date must be provided in order to have a permit issued. Permit valid for 180 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance. Permit valid 180 days. PRIOR TO START, please schedule your inspection via the contractor's mobile app: https://citygovapp.com/app/opwirprod.htmUSA#",,
"06/22/2026","Intake - Completed","X2600526","DOT - Excavation (X)","342 SANTA CLARA AVE, Oakland CA 94610","PG&E PM 35741165: Permit for restoration from after the fact emergency gas work. Park in ROW & TCP. 35741168.  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/22/2026","Final","RP2600797","(RP) Plumbing - 1 & 2 Unit Residential (Building)","598 WESTFIELD WY, Oakland CA 94619","Relocation of Washer and Dryer, new water pipe, hookup to sewer.",,
"06/22/2026","Ready to Issue - Fee Due","CGS2601495","DOT - Curb Gutter Sidewalk Standard Compliance Certificate","4801 ALLENDALE AVE, Oakland CA 94619",,,
"06/22/2026","Permit Issued","RBC2601767","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","972 W MACARTHUR BLVD, Oakland CA 94608","At existing duplex replace siding and window trim damaged by termites. Includes lead-based paint abatement.  To abate CE Case #2603621. LBP2600110 DRX260872",,
"06/22/2026","On Hold","RBC2601766","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","5908 MONADNOCK WY, Oakland CA 94605 United States","At existing SFD, remodel existing bathroom including tub to shower conversion. No other layout changes, no wall changes, no exterior work. Includes related MEPs.",,
"06/22/2026","On Hold - Field Check Pending","RBC2601765","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","2700 GRANDE VISTA AVE, Oakland CA 94601","Fire damage repair to 2 bedrooms and 1 bathroom including replacing windows in same location with same size, replacing interior doors and drywall and repair rafter at SFD. MEP included. DRX260780.",,
"06/22/2026","Intake - Completed","X2600525","DOT - Excavation (X)","3884 RHODA AVE, Oakland CA 94602","PG&E PM 35726321 & 35729226 -PG&E to replace joint pole in same hole set, OH services, OH transformer and cut off existing gas service at the main. PG&E to trench and restore. Trenching 5' x 5' x 4'.  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/22/2026","Permit Issued","RE2601512","(RE) - Electrical - 1 & 2 Unit Residential (Building)","3853 HIGH ST, Oakland CA 94619","Main electrical panel upgrade from 125 amps to 200 amps.",,
"06/21/2026","Permit Issued","CGS2601492","DOT - Curb Gutter Sidewalk Standard Compliance Certificate","7808 WELD ST, Oakland CA 94621",,,
"06/21/2026",,"26TMP-029746","(BW) - Building Worksheet (Building)","3000 SAN PABLO AVE, Oakland CA 94608","Exterior repair just siding and paint",,
"06/21/2026",,"26TMP-021523","(ND) - Non-Developmental Tree Permit (OPW)","2150 34TH AVE, Oakland CA 94601","i want to trim 50% of this tree in my backyard",,
"06/21/2026","Permit Issued","RM2600772","(RM) - Mechanical - 1 & 2 Unit Residential (Building)","4741 SCOTIA AVE, Oakland CA 94605","new minisplit.",,
"06/21/2026","Inspections - In Progress","SL2601193","(SL) - Sewer Lateral (OPW)","4611 SHATTUCK AVE, Oakland CA 94609","Replacing sewer lateral between the rear building and front commercial building, and from the front building to the City main on Shattuck via trenchless operation with SDR-17.",,
"06/21/2026","Complete","BW26001909","(BW) - Building Worksheet (Building)","5907 COLLEGE, Oakland CA 94618 United States","Tenant improvement at existing commercial building for Amazing Amy Massage Studio.  Separate MEP permits required.",,
"06/20/2026","Permit Issued","CGS2601491","DOT - Curb Gutter Sidewalk Provisional Certificate","1116 E 20TH ST, Oakland CA 94606",,,
"06/20/2026",,"26TMP-029714","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","8039 NEY AVE, Oakland CA 94605","This project consists of a 309 square foot addition to Unit 1, creating new living, kitchen, and full bathroom spaces, along with a partial remodel of Unit 2 to include a new kitchen, bedroom, full bathroom, living area, and storage. Work includes selective demolition of non-structural interior and exterior elements to accommodate the new layouts, with refinishing to match existing conditions. Existing structural components within the garage, including the slab and columns, will be retained and enclosed.",,
"06/20/2026","Inspections - In Progress","SL2601192","(SL) - Sewer Lateral (OPW)","2134 62ND AVE, Oakland CA 94621","sewer lateral replacement from the property to the street main line",,
"06/20/2026","Permit Issued","CGS2601490","DOT - Curb Gutter Sidewalk Provisional Certificate","530 63RD ST, Oakland CA 94609",,,
"06/20/2026","Permit Issued","RE2601511","(RE) - Electrical - 1 & 2 Unit Residential (Building)","3930 MIDVALE AVE, Oakland CA 94602","Install new 300-amp service, 3 meters total, 1 for each unit, 1 meter for common use. 100-amp meter each",,
"06/20/2026","Complete","BW26001908","(BW) - Building Worksheet (Building)","1572 7TH ST, Oakland CA 94607","REVISION TO B2302308 - CHANGE WORK SCOPE FROM LIVE-WORK TO REGULAR TENANT IMPROVEMENT FOR OFFICE AND RESTROOM",,
"06/19/2026","Permit Issued","P2600795","(P) - Plumbing - 3+ Residential Units or commercial (Building)","468 PERKINS ST, Oakland CA","ANMAC is contracted to install a water conditioning system on each of the domestic mainwater lines (2 Systems) at Ivy Park at Lake Merritt Apartments. There are existing backflowdevices. The conditioning systems will be installed downstream of the existing backflowdevices.Past Permit Approved in Oakland (Same System): P2301494",,
"06/19/2026","Complete","BW26001905","(BW) - Building Worksheet (Building)","1240 37TH AVE, Oakland CA 94601","Vehicular Residential Facility Planning permit DRX260454 has been approved with instructions to complete Building Worksheet Application. No changes to structure or services are proposed.",,
"06/19/2026","Permit Issued","SEA2600557","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","1643 9TH AVE, Oakland CA 94606","5.85 KW DC (13) Panels Roof Mount PV system with (1) ESS, New 200A MPU",,
"06/19/2026","Inspections - In Progress","SL2601191","(SL) - Sewer Lateral (OPW)","430 SUNNYSLOPE AVE, Oakland CA 94610","Sewer Lateral:Repair/replace building sewer ON PROPERTY ONLY. SL & X required beyond PL. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. USA # and date must be provided in order to have a permit issued. Permit valid for 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance.  Call PWA INSPECTION prior to start: 510-238-3651 or email PWA_inspections@oaklandca.gov USA #",,
"06/19/2026","Permit Issued","RE2601510","(RE) - Electrical - 1 & 2 Unit Residential (Building)","3993 LYMAN RD, Oakland CA 94602","Level 2 EV Charger powered by a 60amp Circuit Breaker. Run #6 THHN c.u. & #10 THHN c.u. ground through <20 feet New 3⁄4” EMT conduit to power the Level 2 EV Charger at 48amp constant draw.",,
"06/19/2026",,"26TMP-029604","DOT - Curb Gutter Sidewalk Provisional Certificate","5137 FAIRFAX AVE, Oakland CA 94601",,,
"06/19/2026","Final","RE2601506","(RE) - Electrical - 1 & 2 Unit Residential (Building)","10 PEMBROKE CT, Oakland CA 94619","Add a 60 amp EV circuit to an Enphase combiner 6C. circuit does not connect to sub panel and is controlled through PCS.",,
"06/19/2026","Intake-On Hold","RBC2601761","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","537 37TH ST, Oakland CA 94609","REMODEL OF APPROXIMATELY 820 SQ FT BASEMENT AREA INTO 2-UNIT DWELLING",,
"06/19/2026","Certificate Issued","R2600763","(R) - ReRoof Certificate (Building)","3028 MACARTHUR BLVD, Oakland CA 94602","1,531 sq ftRemove and dispose of existing tar-and-gravel and torch-down roofing system, including loose gravel and all associated debris. Inspect exposed roof deck for dry rot, deterioration, or structural deficiencies; repair as needed prior to new installation.Install new TPO membrane roofing system as follows: apply FR10 fire-resistant underlayment directly over roof deck; install cover board over underlayment to provide a smooth, uniform substrate; install fully heat-welded TPO membrane over entire roof surface. Install TPO-clad sheet metal at all roof edges and Dutch gutter line. Install new flashing at all walls, curbs, and roof-to-wall transitions, heat-welded into membrane. Install new pipe jacks and penetration boots at all roof penetrations, heat-welded into membrane field.",,
"06/19/2026","Certificate Issued","R2600765","(R) - ReRoof Certificate (Building)","2312 87TH AVE, Oakland CA 94605","Remove existing roof,(1,500sq-ft) Install 4 layers of fiberglass built, apply 2 layers 28 pound base, 2 layers of 11 fiberglass ply sheet finish with 72 white capshet. new flashings and downspouts",,
"06/19/2026",,"26TMP-029643","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","1610 52ND AVE, Oakland CA 94601","Like-for-like repair of the house, including minor plumbing, electrical, and mechanical work. Small section of roof repair",,
"06/19/2026","Permit Issued","SEA2600556","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","10545 PIPPIN ST, Oakland CA 94603","PV Install - 7.79 kW, 2 ESS, 1 Panel Upgrade",,
"06/19/2026","Permit Issued","RM2600771","(RM) - Mechanical - 1 & 2 Unit Residential (Building)","4201 BAYO ST, Oakland CA 94619","Mini Split Add On Head in Living Room Outdoor in Backyard",,
"06/19/2026","Pending-Document Uploaded","R2600764","(R) - ReRoof Certificate (Building)","1 CABRILLO PL, Oakland CA 94611","Removal of the existing shingle roof and installation of a new composition roof (24.40 Sq).",,
"06/19/2026","Permit Issued","RBC2601763","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","4212 SAINT ANDREWS RD, Oakland CA 94605","Replace (6) Retrofit Windows, 3x in Living Room, 2x in Bedroom, 1x in Dining Room. Same Size, Same Locations.",,
"06/19/2026","Inspections - In Progress","SL2601184","(SL) - Sewer Lateral (OPW)","9500 E ST, Oakland CA 94603","Repair/replace sewer lateral and EXCAVATE in PUBLIC RIGHT-OF-WAY. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five days prior notice required for work lasting five days or less in business/commercial districts; 72 hour notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. USA #2026061703599 and date must be provided in order to have a permit issued. Permit valid 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance. Call PWA INSPECTION prior to start: 510-238-3651 or email PWA_inspections@oaklandca.gov",,
"06/19/2026","Permit Issued","RBC2601762","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","1133 EL CENTRO AVE, Oakland CA 94602","Replace (5) Retrofit Windows in Kitchen & Bedroom. Same Size, Same Locations.",,
"06/19/2026",,"26TMP-027446","(E) - Electrical - 3+ Residential Units or Commercial (Building)","7126 INTERNATIONAL BLVD, Oakland CA 94621","The customer would like to upgrade the current 200a service to a 400a service for their commercial building.",,
"06/19/2026","Complete","BW26001904","(BW) - Building Worksheet (Building)","6411 THORNDALE DR, Oakland CA","Revise existing building permit (RBC2401045) plans",,
"06/19/2026","Complete","BW26001907","(BW) - Building Worksheet (Building)","3631 MIDVALE AVE, Oakland CA 94602","In-kind replacement of five (5) windows on apartment D of a 4-unit residential building. New retrofit windows are dual-pane low-E retrofits facing the side and rear of the building. No change to window frame size. Location of five (5) windows to be altered: one (1) window in bedroom 1, one (1) window in bedroom 2, one (1) window in kitchen, one (1) window in dining room, and one (1) window in dining room.",,
"06/19/2026","Intake - On Hold","SL2601186","(SL) - Sewer Lateral (OPW)","18 N HILL CT, Oakland CA 94618","Repair/replace sewer lateral and EXCAVATE in PUBLIC RIGHT-OF-WAY. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five days prior notice required for work lasting five days or less in business/commercial districts; 72 hour notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. USA #2026061703442 and date must be provided in order to have a permit issued. Permit valid 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance. Call PWA INSPECTION prior to start: 510-238-3651 or email PWA_inspections@oaklandca.gov",,
"06/19/2026","Void","RBC2601760","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","2401 IVY DR, Oakland CA 94606","Existing basement conversion to 2-unit ADU. Unit 1 463 sq ft. Unit 2 463 sq ft",,
"06/19/2026","Permit Issued","CGS2601488","DOT - Curb Gutter Sidewalk Provisional Certificate","4546 VIRGINIA AVE, Oakland CA 94619",,,
"06/19/2026","Inspections - In Progress","SL2601189","(SL) - Sewer Lateral (OPW)","6157 ASPINWALL RD, Oakland CA 94611","Replace approximately 90 feet of old sewer lateral with 4"" SDR-17 poly pipe from the house outlet to the city main, located in the backyard",,
"06/19/2026",,"26TMP-029669","(R) - ReRoof Certificate (Building)","3519 WISCONSIN ST, Oakland CA 94619","TEAR OFF OLD ROOFING & INSTALL NEW ROOFING   ROOF IS 1,600 SQ FT.",,
"06/19/2026","Permit Issued","CGS2601489","DOT - Curb Gutter Sidewalk Provisional Certificate","5137 FAIRFAX AVE, Oakland CA 94601",,,
"06/19/2026","Permit Issued","E2601507","(E) - Electrical - 3+ Residential Units or Commercial (Building)","5343 BROADWAY, Oakland CA 94618","Replace 4 recessed light fixtures",,
"06/19/2026","Certificate Issued","R2600766","(R) - ReRoof Certificate (Building)","2957 62ND AVE, Oakland CA 94605","Tear off existing flat roof, install new 60mil TPO.",,
"06/19/2026","Permit Issued","SL2601188","(SL) - Sewer Lateral (OPW)","2215 INTERNATIONAL BLVD, Oakland CA 94606","Sewer Lateral and Excavation: Repair/replacing a 40ft sewer lateral line for compliance.Repair/replace sewer lateral and EXCAVATE in PUBLIC RIGHT-OF-WAY. Overflow device may be needed.  If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five days prior notice required for work lasting five days or less in business/commercial districts; 72 hour notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. USA # and date must be provided in order to have a permit issued. Permit valid 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance.  Call PWA INSPECTION prior to start: 510-238-3651 or email PWA_inspections@oaklandca.gov. USA # 2026.0529-006-77-001",,
"06/19/2026","Inspections - In Progress","SL2601185","(SL) - Sewer Lateral (OPW)","1 N HILL CT, Oakland CA 94618","Repair/replace sewer lateral and EXCAVATE in PUBLIC RIGHT-OF-WAY. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five days prior notice required for work lasting five days or less in business/commercial districts; 72 hour notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. USA #202606160378 and date must be provided in order to have a permit issued. Permit valid 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance. Call PWA INSPECTION prior to start: 510-238-3651 or email PWA_inspections@oaklandca.gov",,
"06/19/2026","Completed Cert Received","R2600762","(R) - ReRoof Certificate (Building)","6125 PINEWOOD RD, Oakland CA 94611","3,323 sq ft - Remove existing roofing system to deck; inspect and repair roof deck for dry rot and structural deficiencies. Install ProGuard synthetic underlayment over entire roof. Re-roof low-slope/cricket section with TPO single-ply membrane. Install CertainTeed Landmark composition shingles with closed-cut valleys over leak barrier. Install new drip edge and edge metal at all eaves and rakes (350 LF). Install new wall, step, and diverter flashing at all roof-to-wall transitions; re-seal gas fireplace vent collar; install new pipe jack flashings. Repair dry-rotted fascia; paint all metal to match roof. Add low-profile attic ventilation to meet 1:300 code ratio, balanced intake and exhaust. Install new ridge caps at all ridges and hips (118 LF).",,
"06/19/2026","Permit Issued","RE2601509","(RE) - Electrical - 1 & 2 Unit Residential (Building)","84 TEMPLAR PL, Oakland CA 94618","50amp EV circuit and a new sub feed",,
"06/19/2026","Permit Issued","SEA2600555","SolarApp+ (For roof mounted residential solar projects not exceeding 38.4kw total done with SolarApp+- contractor use)","3566 64TH AVE, Oakland CA 94605","19 module 7.79 kWDC Roof Mount Solar / MPU to (N) 125A main panel / (1) Tesla Powerwall 3 Battery / (N) Tesla Backup Switch",,
"06/19/2026","Inspections - In Progress","SL2601183","(SL) - Sewer Lateral (OPW)","2824 38TH AVE, Oakland CA 94619","replace the entire PSL start from the back of the building and the replacement end at the sidewalk form the didewalk up to center of the street is plastic",,
"06/19/2026","Permit Issued","RE2601508","(RE) - Electrical - 1 & 2 Unit Residential (Building)","5483 HOLLAND ST, Oakland CA 94601","Kitchen ceiling renovation: new drywall (approx. 200 sq. ft.).No structural work and over-the-range microwave vent installation. We are replacing the existing lights with 6 new energy-efficient lights; we do not anticipate any rewiring or adding circuitry.",,
"06/19/2026","Complete","BW26001906","(BW) - Building Worksheet (Building)","2915 KITCHENER CT, Oakland CA 94602","Residential Kitchen remodeling like for like per proposed plans. Demolition: Demolish soffit, cabinets countertops and flooring.New cabinets, countertops and flooring to be installer on existing location.Plumbing: all plumbing will remain on existing location and will be refresh to meet cold compliance. Electrical: update electrical circuits to meet building code. Update electrical sub panel with same AMPS , just to have more breaker ports for new circuits. Lightning:  install new LED ceiling can lights and install under cabinet LED lights. Smoke alarms and carbon monoxide alarms to be installed as required to meet code compliant.",,
"06/19/2026","Inspections - In Progress","SL2601190","(SL) - Sewer Lateral (OPW)","3322 CHESTNUT ST, Oakland CA 94608","Repair/replace sewer lateral and EXCAVATE in PUBLIC RIGHT-OF-WAY. Overflow device may be needed.  If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised March 2015 and City Council Ordinance No. 13300 C.M.S. Five days prior notice required for work lasting five days or less in business/commercial districts; 72 hour notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. USA # and date must be provided in order to have a permit issued. Permit valid 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance.",,
"06/19/2026","Inspections - In Progress","SL2601187","(SL) - Sewer Lateral (OPW)","3554 JORDAN RD, Oakland CA 94619","Repair/replace building sewer ON PROPERTY ONLY. SL & X required beyond PL. Overflow device may be needed. If working within 25' feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. USA # and date must be provided in order to have a permit issued. Permit valid for 90 days. If the work is to be performed on a designated “Creekside Property” the work will require a “Creek Protection Permit”. If the property is not currently flagged in Accela as a “Creekside Property” but work will be performed within 100’ of a creek channel, a “Creek Determination” should be conducted to determine if the work is subject to the Creek Protection Ordinance.",,
"06/19/2026","Completed Cert Received","R2600767","(R) - ReRoof Certificate (Building)","3519 WISCONSIN ST, Oakland CA 94619","TEAR OFF OLD ROOFING   1,600 SQ FT    INSTALL NEW ROOF",,
"06/19/2026","Certificate Issued","R2600761","(R) - ReRoof Certificate (Building)","6375 HILLMONT DR, Oakland CA 94605","Reroof, tear off, 17 SQ. Shingles, house and garage",,
"06/19/2026","Complete","BW26001912","(BW) - Building Worksheet (Building)","8041 EARL ST, Oakland CA 94605","Revision of RBC2400207 - Updated plan showing use of gas furnace",,
"06/19/2026","Incomplete Submittal","S2600054","(S) Sign Permit- New and Alterations","1405 MIDDLE HARBOR RD, Oakland CA 94607","Install (1) illuminated monument sign and pole for ""Forum Mobility"". Planning approval issued by PORT OF OAKLAND. Separate electrical permit required.",,
"06/19/2026","Intake - Completed","X2600524","DOT - Excavation (X)","1075 UNDERHILLS RD, Oakland CA 94610","AT&T A05GLF7 In coordination with PG&E, this job requires AT&T to remove old poles x4 & remove old anchor x1, place ground bed, restore 40 SF of concrete & transfer facilities to new, existing poles x4 already placed by PG&E. Trenching 18' x 1"".  Ensure that environmental controls are in place to prevent dust/debris/wastewater from contaminating environment. If working within 15 feet of a monument you must comply with State Law 8771, contact the Inspector prior to starting excavation: minimum $5,800.00 fine for non-compliance. Comply with all terms of City of Oakland Public Works Standards, Street Excavation Rules, Revised August 2021 and City Council Ordinance No. 13300 C.M.S. Five days’ prior notice required for work lasting five days or less in business/commercial districts: 72-hours’ notice in residential districts. Ten days prior notice required for work lasting six days or more in all districts. SCHEDULE INSPECTION at least 48 hours in advance at: http://oaklanddot.com/projects/search.html """,,
"06/19/2026","On Hold","RBC2601764","(RBC) - Building Residential Combo Alteration- 1 & 2 Unit Residential (Building)","6353 FLORIO ST, UNIT B, OAKLAND CA 94618 United States","Replace 1 retrofit window at kitchen, same size and location in ADU unit B at rear of condo. No MEP included. DRX260871.",,
