id,address_raw,address_clean,project_name,units,units_raw,status,date_raw,date_parsed,matched_project_id,match_confidence
221,"1951 Shattuck Ave (Ace Berkeley)","1951 Shattuck Ave","Ace Berkeley",163,"163 units","construction wrapping up","May 13, 2024",2024-05-13,136,exact
222,"2655 Shattuck Ave","2655 Shattuck Ave",,100,"~100 units","renderings / permits","May 24, 2024",2024-05-24,18,exact
223,"2109 Virginia St","2109 Virginia St",,100,"100+ units","formal permits filed","Jun 6, 2024",2024-06-06,15,exact
224,"2018 Blake St","2018 Blake St",,12,"12 units","demolition permits","Jun 7, 2024",2024-06-07,148,exact
225,"1130 Oxford St","1130 Oxford St",,,"units TBD","preliminary permits (former school site)","Jan 5, 2026",2026-01-05,,
226,"2127 Dwight Way","2127 Dwight Way",,58,"58 units","construction topped out","Jan 12, 2026",2026-01-12,144,exact
227,"2442 Haste St","2442 Haste St",,38,"38 units","design review meeting","Jan 14, 2026",2026-01-14,124,exact
228,"2138 Kittredge St","2138 Kittredge St",,,"units TBD","modified plans / unit count increased","Jan 16, 2026",2026-01-16,29,exact
229,"2727 Haste St","2727 Haste St",,45,"45 units","formal application filed","Jan 20, 2026",2026-01-20,114,exact
230,"1899 Oxford St","1899 Oxford St",,200,"200+ units","zoning board review","Jan 21, 2026",2026-01-21,9,exact
231,"1740 University Ave","1740 University Ave",,12,"12 units","zoning meeting (commercial-to-residential)","Jan 22, 2026",2026-01-22,42,exact
232,"2902 Adeline St","2902 Adeline St",,54,"54 units","wood-frame construction rising","Jan 22, 2026",2026-01-22,143,exact
233,"2147 San Pablo Ave","2147 San Pablo Ave",,100,"~100 affordable units","preliminary permits","Jan 28, 2026",2026-01-28,41,exact
234,"1521 Holly St","1521 Holly St",,2,"2 units","preliminary permits (Middle Housing)","Jan 29, 2026",2026-01-29,,
235,"2336 Dwight Way","2336 Dwight Way",,3,"3 units","preliminary permits (Middle Housing)","Feb 8, 2026",2026-02-08,,
236,"2712-2714 Telegraph Ave","2712-2714 Telegraph Ave",,50,"50 units","demolition permits","Feb 16, 2026",2026-02-16,,
237,"2455 Telegraph Ave (Amoeba Apartments)","2455 Telegraph Ave","Amoeba Apartments",68,"68 units","zoning permits filed","Feb 18, 2026",2026-02-18,25,exact
238,"2109 Virginia St","2109 Virginia St",,110,"110 units","city council approved","Feb 20, 2026",2026-02-20,15,exact
239,"2449 Dwight Way","2449 Dwight Way",,,"units TBD","zoning meeting (8-story partial demo/rebuild)","Feb 25, 2026",2026-02-25,38,exact
240,"1899 Oxford St","1899 Oxford St",,200,"200+ units","plans approved","Feb 28, 2026",2026-02-28,9,exact
241,"1708 Harmon St","1708 Harmon St",,,"units TBD","demolition permits","Mar 6, 2026",2026-03-06,145,exact
242,"2298 Durant Ave","2298 Durant Ave",,,"units TBD","updated preliminary permits (plans decreased)","Mar 10, 2026",2026-03-10,26,exact
243,"2200 Bancroft Way","2200 Bancroft Way",,1400,"1,400 beds","23-story UC dorm construction started","Mar 10, 2026",2026-03-10,165,exact
244,"2276 Shattuck Ave","2276 Shattuck Ave",,,"units TBD","zoning board meeting","Mar 11, 2026",2026-03-11,2,exact
245,"2700 Shattuck Ave","2700 Shattuck Ave",,,"several hundred units","design review meeting","Mar 17, 2026",2026-03-17,3,exact
246,"1606 Derby St","1606 Derby St",,,"units TBD","preliminary permits (Middle Housing)","Mar 19, 2026",2026-03-19,,
247,"2200 Fifth St","2200 Fifth St",,8,"8 units","preliminary permits (Middle Housing)","Mar 24, 2026",2026-03-24,45,exact
248,"Channing Way & Bowditch St (UC Berkeley)","Channing Way & Bowditch St","UC Berkeley",,"units TBD","26-story dorm announced","Mar 26, 2026",2026-03-26,,
249,"1752 Shattuck Ave","1752 Shattuck Ave",,68,"68 units","construction nearly complete / leasing started","Mar 30, 2026",2026-03-30,164,exact
