Record #,Address,Type,Description,Status,Date (Applied/Opened),Density Flag
B2007-05747,"2819 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,,Closed Expired,12/12/2007,
B2025-04329-DEF02,"2822 BENVENUE Ave, BERKELEY CA 94705",Trusses Deferred Submittal for B2025-04329,Roof Trusses - No change in valuation.,Issued,04/14/2026,
B2025-04329-REV01,"2822 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2025-04329,"Changes to framing layout at dining/kitchen floor. Plan updates at basement stair, upper-level primary bath and laundry. Minor changes to windows and doors. No change in job valuation.",Issued,02/09/2026,
B2025-04329,"2822 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,Addition at rear of house and full remodel. Replace windows throughout. Related to ZP2025-0047.,Issued,10/01/2025,addition
B1997-02942,"2822 BENVENUE AVE, BERKELEY CA 94705",Building Permit,EXTERIOR DECK REMODEL,Closed Expired,07/16/1997,
B2025-01894,"2823 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Voluntary seismic upgrade per plan. Not for Transfer Tax Rebate, EBB or any other retrofit programs",Closed Expired,05/07/2025,
B2001-00239,"2823 BENVENUE AVE, BERKELEY CA 94705",Building Permit,PARTIAL VOLUNTARY CRAWLSPACE BRACING.,Closed Expired,01/19/2001,
B2025-02691,"2824 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,"Install 4.14 (DC) / 5.0 (AC) KW PV solar panels (9 modules) on the roof with a 13.5 kWh Powerwall, Battery Backup, & 125 AMP Subpanel.",Finaled,06/30/2025,
B2023-02289,"2824 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2023-01285,Upgrade electrical service from 100A to 200A.,Finaled,05/03/2023,
B2023-01107,"2824 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Replace furnace like for like with new in crawlspace AFUE 96,Closed Expired,03/10/2023,
B2022-05708,"2824 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Plumbing Permit,"Bathroom and laundry remodel. Remove (3) windows and exterior door to the deck on the west side. Replace with a new bifold exterior glass door. Voluntary Partial foundation refurbish / seismic retrofit. For Transfer tax Rebate. Total Valuation $250,000/ Remodel $100,000/ Seismic $150,000.",Finaled,12/08/2022,
B1995-01725,"2824 BENVENUE AVE, BERKELEY CA 94705",Building Permit,SEISMIC UPGRADE WORK TO BE DONE IN ATTIC & SUBAREA,Closed Expired,05/17/1995,
B2022-00387,"2828 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,Install 6.0 KW PV solar panels (15 modules) on the roof.,Finaled,01/27/2022,
B2022-00325,"2828 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Remove existing composition roof, install new composition roof.",Finaled,01/26/2022,
B2017-02165,"2828 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 3.6KW Photovoltaic Solar panels on roof (12 panels).,Closed Expired,05/22/2017,
B2025-00540,"2829 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Replace existing PV solar system with new PV solar system.,Finaled,02/11/2025,
B2024-01280,"2829 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Removal of existing roofing materials and installation of new roofing assembly.,Finaled,03/20/2024,
B2021-02601,"2829 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Replace 6 windows in existing openings,Closed Expired,06/18/2021,
B2023-00190,"2830 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Seismic retrofit upgrade for transfer tax rebate.,Finaled,01/18/2023,
B2022-00996-REV01,"2830 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2022-00996,Upgrade electrical service to 400 amps. Replace existing furnace with new. [MEP added 1/23/2023],Finaled,11/28/2022,
B2022-00996,"2830 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,New 260 SF covered screened porch with new stairs; minor remodel in kitchen and bathrooms.,Finaled,03/07/2022,
B2016-05350,"2830 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 2.75 KW Solar PV Roof Mounted 10 Modules.,Closed Expired,11/15/2016,
B1993-06979,"2830 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,WORK TO BE DONE IN THE FRONT UNIT UNDERGROUND UTILITIES DISTRICT,Closed Expired,11/17/1993,
B2025-03006,"2831 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Remove chimney, replace stucco & roofing at chimney. Qualifies for TTR",Finaled,07/18/2025,
ESR-2025-01984,"2831 BENVENUE Ave, BERKELEY CA 94705",,,Closed Expired,06/25/2025,
25TMP-024054,"2831 BENVENUE Ave, BERKELEY CA 94705",,-remove whole chimney for safety reasons and patch roof top where the chimney currently is.,,06/24/2025,
B1997-00184,"2832 BENVENUE AVE, BERKELEY CA 94705",Building Mechanical Permit,"TEAR OUT BRICK FIREPLACE, INSTALL ZERO CL. NEW FIREBOX",Closed Expired,01/15/1997,
B1997-00184-M,"2832 BENVENUE AVE, BERKELEY CA 94705",Building Mechanical Permit,"TEAR OUT BRICK FIREPLACE, INSTALL ZERO CL. NEW FIREBOX",Closed Expired,01/15/1997,
B1996-02085,"2835 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,PERMIT CLOSED - TIME LIMIT EXPIRED - BR1,Closed Expired,06/10/1996,
B1995-03585,"2835 BENVENUE AVE, BERKELEY CA 94705",Building Permit,SEISMIC UPGRADE,Closed Expired,09/18/1995,
B2024-03415,"2838 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Plumbing Permit,"Footing replacement, Brace & Bolt Program and installation of sump pump. Other alterations under B2024-03320.",Finaled,07/11/2024,
B2024-03320,"2838 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remodel kitchen & 3.5 bathrooms. Install gas fireplaces in living room and primary bedroom. New electrical & plumbing. New HVAC ducted mini-split system in attic to serve second floor. Ducting and vents modification in basement to serve first floor, existing gas furnace to remain. New, replaced & removed windows, including (3) new skylights. Install insulation & replace (E) cedar shingles in kind.",Finaled,07/05/2024,
B2019-00462,"2838 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,"Replace furnace, add circuit, replace duct work in crawlspace",Issued,02/04/2019,
B2025-05014,"2900 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Removal of the old roof and installation of new asphalt shingles. (2,120 Sq.ft.)",Finaled,11/04/2025,
B2025-00074,"2900 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,"New HP mini split with (2) wall mounts, (1) ductless split, replace (13) R8 ducts (2) returns.",Closed Expired,01/07/2025,
B2024-05312,"2901 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Add hand rail to exterior front stairs, repair brick & mortar stair surfaces.",Finaled,11/04/2024,
B2022-01086,"2901 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install dedicated 240 V / 50 AMP Tesla Wall EV Charger inside the garage next to the garage door with 25 LF of surface mounted 1 inch flex conduit going to the basement & 8 LF outdoor EMT conduit.,Finaled,03/11/2022,
B2019-00941,"2901 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Rebuild chimney (seismic upgrade),Finaled,03/05/2019,
B2019-00943,"2901 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Reroof-Tear off existing composite shingles & replace with new ones.,Finaled,03/05/2019,
B2013-02466,"2901 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Permit,Install Gate at garage and front entrance,Closed Expired,06/04/2013,
B2013-02466-E,"2901 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Permit,Install Gate at garage and front entrance,Closed Expired,06/04/2013,
B1995-01719,"2902 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,WATER HEATER,Closed Expired,05/17/1995,
B2026-00907,"2905 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2026-00699,R&R furnace same location basement.,Finaled,03/05/2026,
B1993-03090,"2905 BENVENUE AVE, BERKELEY CA 94705",Electrical Plumbing Permit,UNDERGROUND UTILITIES/NEW SERVICE DO NOT ISSUE ANY MECHANICAL PERMITS UNTIL CLEARANCE FROM INSPECTOR KENDALL PERMIT CLOSED TIME LIMIT EXP MH 2/26/01,Closed Expired,02/09/1993,
B1993-03090-P,"2905 BENVENUE AVE, BERKELEY CA 94705",Electrical Plumbing Permit,UNDERGROUND UTILITIES/NEW SERVICE DO NOT ISSUE ANY MECHANICAL PERMITS UNTIL CLEARANCE FROM INSPECTOR KENDALL PERMIT CLOSED TIME LIMIT EXP MH 2/26/01,Closed Expired,02/09/1993,
B2025-02181-REV01,"2908 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2025-02181,"Add electrical repairs to approved permit : Remove and replace knob and tube wiring. New job valuation is $135,000.",Finaled,07/24/2025,
B2025-02181,"2908 BENVENUE Ave, BERKELEY CA 94705",Building Permit,R&R foundation and seismic retrofit per plans. Intended for Berkeley Transfer Tax Program.,Finaled,05/29/2025,
ESR-2025-00608,"2908 BENVENUE Ave, BERKELEY CA 94705",,,Closed Expired,02/25/2025,
B2025-02871,"2910 BENVENUE Ave, 1/2, BERKELEY CA 94705",Building Permit,Rear House (2910 1/2) - Remove and replace approximately 153 LF of foundation and seismic retrofit for transfer tax,Finaled,07/10/2025,
B1993-06821,"2910 BENVENUE AVE, BERKELEY CA 94705",Plumbing Permit,PERMIT CLOSED TIME LIMIT EXP MH,Closed Expired,11/09/1993,
B2023-05143,"2911 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,Replaced existing tanked water heater in crawlspace with new Navien tankless water heater in existing location,Closed Expired,10/05/2023,
B2022-03682,"2911 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Tear off existing comp and install comp, 22 squares",Finaled,08/09/2022,
B2021-01301,"2911 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,"Replace existing furnace, and 4 supply ducts",Finaled,04/05/2021,
B2018-00863,"2911 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 2.6KW PV solar panels on roof (8 modules).,Finaled,03/02/2018,
B1998-05510,"2911 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"TERMITE REPAIR-REPORT #1836,DATED 8/6/97 ITEMS #1A, 1B, 1C, 1D, 1E, 1F, 3A, 3B, 4A, 4B, 6A, 7A,10A, 11A, 11B (CIRCLED ON TERMITE REPORT)",Closed Expired,12/15/1998,
B2023-03779,"2912 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,"(N) residential, roof-mount solar PV. (24) modules, (8.76) kW total.",Finaled,07/25/2023,
B2023-03501,"2912 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Install new Class A 30-year Comp shingles over the existing layer,Closed Expired,07/11/2023,
B2023-03504,"2912 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Add new ducted heat pump system. Add new duct work,Finaled,07/11/2023,
B2019-00018-REV01,"2912 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2019-00018,Relocate existing stained glass window on first floor. Reconfigure bath layouts upstairs to keep more of the existing interior walls and reduce scope. Add new stained glass window in Bath 3.,Issued,01/27/2020,
B2019-01409,"2912 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,"Install 40 gallon water heater, like for like.",Issued,04/04/2019,
B2019-00018,"2912 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Plumbing Permit,"5/11/20 - Portion of work ($75,000 of voluntary seismic strengthening) qualifies for transfer tax rebate. (AC) 9/6/19 -Trades permit issue - New electrical panel and first floor wiring, outlets, switches, lighting, new plumbing, fixtures, and hot water heater. Voluntary seismic upgrade foundation work, kitchen, second floor bathroom and closet remodel.",Finaled,01/02/2019,
B2026-01711,"2915 BENVENUE Ave, 3, BERKELEY CA 94705",Building Permit,In-kind Repair and Replacement of minor fungus damaged wood members at landing of lower steps and the small deck above the garage as necessary. Paint to match existing. Tenant relocation.,Finaled,04/23/2026,
26TMP-015694,"2915 BENVENUE Ave, 3, BERKELEY CA 94705",,,,03/18/2026,
ESR-2026-00904,"2915 BENVENUE Ave, 3, BERKELEY CA 94705",,,Closed Expired,03/14/2026,
B2024-05786,"2915 BENVENUE Ave, 3, BERKELEY CA 94705",PermitPermit,Replace damaged siding panels (T1-11 plywood).,Issued,12/05/2024,
B2015-06089,"2915 BENVENUE Ave, 2, BERKELEY CA 94705",Building Permit,INSTALL (7) SEVEN RETROFIT WINDOWS- NO SIZE CHANGE,Closed Expired,12/16/2015,
B2015-06080,"2915 BENVENUE Ave, 1, BERKELEY CA 94705",Mechanical Permit,replace furnace and ducting,Finaled,12/15/2015,
B2015-06084,"2915 BENVENUE Ave, 2, BERKELEY CA 94705",Mechanical Permit,REPLACE FURNACE AND DUCTING,Finaled,12/15/2015,
B1993-03155,"2915 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,UNDERGROUND ELECTRICAL SERVICE PERMIT CLOSED TIME LIMIT EXP MH 2/26/01,Closed Expired,02/11/1993,
B2003-03897,"2917 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"TEAR OFF (E) ROOF, REROOF W/ 40 YR, COMP SHINGLE.",Closed Expired,08/29/2003,
B2025-01982,"2918 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Changing the fuse panels to breaker panels in all 4 units,Finaled,05/13/2025,
B2019-00599,"2919 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Furnace Replacement,Closed Expired,02/13/2019,
B2016-00459,"2919 BENVENUE Ave, BERKELEY CA 94705",Building Mechanical Plumbing Permit,"REPLACE SHEETROCK IN BATHROOM AND UTILITY ROOM DUE TO WATER DAMAGE, ALSO REPLACE SINK AND TOILET",Finaled,02/02/2016,
B2024-04228,"2920 BENVENUE Ave, A, BERKELEY CA 94705",Plumbing Permit,Re-install and bring everything up to plumbing code the current unpermitted water heater - housing Report# H2404-01580,Finaled,08/28/2024,
B2016-03545,"2920 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Replace damaged deck from failed tree,Finaled,07/28/2016,
B2000-00088,"2920 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,"REPLACEMENT 80,000 BTU FURNACE",Closed Expired,01/07/2000,
B1997-02175,"2920 BENVENUE AVE, BERKELEY CA 94705",Building Permit,PARTIAL FOUNDATION REPLACEMENT,Closed Expired,06/02/1997,
B1994-01153,"2920 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,FURNACE,Closed Expired,04/04/1994,
B2019-02538,"2924 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,"Replace water heater like for like in basement, laundry room",Finaled,06/20/2019,
B2012-04175,"2924 BENVENUE AVE, BERKELEY CA 94705",Building Permit,** EMERGENCY PARTIAL DEMOLITION & BRACING EXTERIOR WALLS. REMOVE FAILING ROOF & CHIMNEY. TEMPORARY FENCING. SEE ATTACHED NOTICE OF VIOLATION. NO OTHER WORK TO BE PERFORMED UNDER THIS PERMIT. SUBJECT TO FIELD INSPECTION.,Closed Expired,10/05/2012,demolition
B2008-05090,"2924 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REPLACE SHINGLE SIDING ON NORTH & WEST SIDES OF HOUSE. REPLACE 7 WINDOWS AND 2 DOORS.,Closed Expired,11/13/2008,
B1995-03426,"2924 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REPLACE DRY ROTTED WOOD DECKING AND ANY ROTTED FLOOR JOISTS ONLY.,Closed Expired,09/07/1995,
B2024-03142,"2926 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remodel Bathroom upgrade electrical, relocate washer and dryer & vent in basement",Finaled,06/25/2024,
24TMP-022888,"2926 BENVENUE Ave, BERKELEY CA 94705",,,,06/25/2024,
B1992-02600,"2926 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,UNDERGROUND ELECTRICAL FOR DUPLEX AT 2926 AND 2928 BENVENUE AVE,Closed Expired,12/30/1992,
B2024-01912,"2927 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Removal of existing roofing materials and installation of new class-A roofing assembly.,Finaled,04/18/2024,
B2006-00346,"2927 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,"Add/replace receptacles, ck and resecure fixtures, rep outside lighting circuit",Closed Expired,01/30/2006,
B2025-02503,"2928 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Replace existing 2x6 redwood deck boards with new redwood deck boards. Replace existing redwood guardrail boards with new redwood boards.,Finaled,06/19/2025,
B2021-00595,"2928 BENVENUE Ave, BERKELEY CA 94705",Plumbing Permit,Replace (E) water heater with tank less model in same location.,Finaled,02/16/2021,
B2015-04465,"2928 BENVENUE AVE, BERKELEY CA 94705",Building Permit,DECK REPAIR,Closed Expired,09/15/2015,
B1993-06748,"2928 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,REPLACE WATER HEATER,Closed Expired,11/04/1993,
B1993-02643,"2930 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,UNDERGROUND SERVICE PERMIT CLOSED TIME LIMIT EXP MH 2/26/01,Closed Expired,01/06/1993,
B2024-00395,"2933 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Installation of ductless mini split 1 outdoor unit 1 indoor unit,Finaled,01/26/2024,
B2020-01925,"2933 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Plan Set A - Seismic For Transfer Tax Rebate.,Finaled,06/25/2020,
B2025-01415,"2940 BENVENUE Ave, BERKELEY CA 94703",Electrical Mechanical Permit,Remove and replace outdoor HVAC.,Issued,04/08/2025,
B2024-01889-REV01,"2940 BENVENUE Ave, BERKELEY CA 94703",Building Revision for B2024-01889,Add joists and install bracket. No Change in Valuation.,Closed Expired,06/24/2024,
B2024-01889,"2940 BENVENUE Ave, BERKELEY CA 94703",Building Mechanical Permit,Removing old condenser and replacing with new. (Calcs address says 3940 Benvenue) REV01 - Adding 4-joists as shown in Plans from Structural Engineer and installing bracket as shown in plans from Mason Industries. No Change in Valuation.** Like for like replacement of outdoor condensing unit with roof framing alteration.,Closed Expired,04/17/2024,
B2010-03145,"2951 BENVENUE AVE, BERKELEY CA 94703",Building Permit,REMOVE ROOF AND INSTALL CLASS A COMPOSITIONS SHINGLES AND MODIFIED BITUMEN SYSTEM.,Closed Expired,08/23/2010,
B2013-00565-P,"2953 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"(N)341SF 2nd STORY ADDITION, DECK & PORCHES, RENOVATE (E) REAR ELEVATION.",Closed Expired,02/07/2013,addition
B2013-00565-M,"2953 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"(N)341SF 2nd STORY ADDITION, DECK & PORCHES, RENOVATE (E) REAR ELEVATION.",Closed Expired,02/07/2013,addition
B2013-00565-E,"2953 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"(N)341SF 2nd STORY ADDITION, DECK & PORCHES, RENOVATE (E) REAR ELEVATION.",Closed Expired,02/07/2013,addition
B2013-00565,"2953 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"(N)341SF 2nd STORY ADDITION, DECK & PORCHES, RENOVATE (E) REAR ELEVATION.",Closed Expired,02/07/2013,addition
B2025-00043-REV01,"2954 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2025-00043,Removed fire set back from site plan. No increase in valuation.,Finaled,04/01/2025,
B2025-00043,"2954 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 6.3 KW PV solar panels (15 modules) on the roof of a rooming house.,Finaled,01/06/2025,
B2024-03684,"2954 BENVENUE Ave, BERKELEY CA 94705",Building Permit,remove and replace existing roofing with comp shingle roofing,Finaled,07/26/2024,
B2023-03942,"2954 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Sister rafters & install 6.40 KW PV solar panels (16 modules) on the roof with a new 100 AMP load center with load side tap (for a rooming house).,Closed Expired,08/02/2023,
B2018-02544,"2954 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remodel kitchen, 2 powder rooms, master & guest bathrooms, laundry and window replacement 9/13/18 Add plumbing for restrooms.",Finaled,06/28/2018,
B1999-00658,"2954 BENVENUE AVE, BERKELEY CA 94705",Building Permit,VOLUNTARY RESIDENTIAL SEISMIC: HOLDOWNS AND SHEAR PLYWOOD TO CRAWL SPACE,Closed Expired,02/17/1999,
B2023-03102,"2957 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install Span panel as new subpanel. Install Span Drive EV charger,Finaled,06/15/2023,
B2022-03896,"2957 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,Install 5.6 KW PV solar panels (14 modules) on the roof.,Finaled,08/22/2022,
B2020-02247,"2957 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Seismic safety work for transfer tax reduction per standard Plan-Set A; URFP/FRFP Retrofit foundation plates and nails to bring to code.,Closed Expired,07/21/2020,
B2020-01693,"2957 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Permit,"Remove chimney to roof line, install gas fireplace insert",Finaled,06/05/2020,
B2020-00160,"2957 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Remove & replace four (4) windows, same sizes & locations.",Finaled,01/15/2020,
B2018-03857-REV01,"2957 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2018-03857,Rebuild back porch,Issued,01/02/2019,
B2018-03909,"2957 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"Repair & replace siding, install plywood, moister barrier, cedar shingles.",Finaled,10/01/2018,
B2018-03857,"2957 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,"Remove (e) non-bearing wall @ kitchen, replace w/beam & post,(n) bath at 2nd floor. Kitchen remodel.",Finaled,09/26/2018,
B2016-02865,"2957 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"REROOF- COMPLETE REMOVAL OF EXISTING ROOF MATERIALS, INSTALLATION OF NEW ROOF ASSEMBLY",Finaled,06/16/2016,
B2025-02139,"2960 BENVENUE Ave, BERKELEY CA 94705",Building Permit record created from ESR-2025-01495,"AC with a heat pump replacement, furnace with an air handler replacement and ductwork replacement.",Finaled,05/27/2025,
B2018-01984-REV01,"2960 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2018-01984,Revision to add one (1) 13.5KW Energy Storage System (ESS) to scope. Change electrical tie in & wire sizes. No increase in valuation.,Closed Expired,09/10/2018,
B2018-01984,"2960 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 5.525KW PV solar panels on roof (17 modules).,Closed Expired,05/21/2018,
B2016-01264,"2960 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Plumbing Permit,Kitchen Remodel.,Finaled,03/18/2016,
B2005-03985,"2960 BENVENUE AVE, BERKELEY CA 94705",Mechanical Permit,"Replace (e) forced air furnace. Although applicant has existing mechanical, request another--pmj",Closed Expired,09/14/2005,
B1999-05813-P,"2960 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,INTERIOR REMODELING,Closed Expired,12/23/1999,
B1999-05813-M,"2960 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,INTERIOR REMODELING,Closed Expired,12/23/1999,
B1999-05813-E,"2960 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,INTERIOR REMODELING,Closed Expired,12/23/1999,
B1999-05813,"2960 BENVENUE AVE, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,INTERIOR REMODELING,Closed Expired,12/23/1999,
B1999-05657,"2960 BENVENUE AVE, BERKELEY CA 94705",Building Permit,"TERMITE REPAIRS PER REPORT ITEMS: 1C,1D, 4A,4B,9B,10A,10B,11A,11B,11C,11D DATED 11/18/99 REPORT #21444",Closed Expired,12/13/1999,
B2021-03494,"2961 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,"Install Heat pump, Air handler, and ductwork more than 40 ft in main house.",Finaled,08/05/2021,
B2021-03432,"2961 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,Install two zone ductless mini split system in ADU,Finaled,08/02/2021,ADU/unit
B2021-02339,"2961 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Install 4.74 KW PV solar panels (12 modules) on the roof.,Finaled,06/07/2021,
B2021-02210,"2961 BENVENUE Ave, A, BERKELEY CA 94705",Electrical Permit,Install 3.16 KW PV solar panels on the roof.,Finaled,05/27/2021,
B2021-00539-REV01,"2961 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2021-00539,Revise structural plan to reflect (E) conditions of a non-load wall. discovered during construction. See sheet S2.1. No change in valuation.,Issued,04/07/2021,
B2021-00539,"2961 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,Remodel (E) kitchen and laundry room. (N) gas insert in (E) fireplace. (N) FAU/AC and upgrade electrical panels. No new SF or windows.,Finaled,02/09/2021,
B2019-00268,"2961 BENVENUE Ave, BERKELEY CA 94705",Building Permit,Removal of existing roofing materials and installation of CertainTead Landmark shingles,Finaled,01/21/2019,
B2008-01932,"2961 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REPLACE 17 WINDOWS,Closed Expired,05/05/2008,
B2008-01933,"2961 BENVENUE AVE, BERKELEY CA 94705",Building Permit,REPLACE 2 WINDOWS & 1 FRENCH DOOR,Closed Expired,05/05/2008,
B1992-01957,"2961 BENVENUE AVE, BERKELEY CA 94705",Electrical Permit,UNDERGROUND ELECTRICAL SERVICE PERMIT CLOSED TIME LIMIT EXPIRED MH 2/23/01,Closed Expired,11/13/1992,
B2026-03290,"3001 BENVENUE Ave, BERKELEY CA 94705",Electrical Permit,Installing 1 phase 100amp 240v 4 clip underground residential meter panel to provide temporary power for construction ref. B2026-02153,Approved w/Conditions,08/05/2026,
B2026-02153,"3001 BENVENUE Ave, BERKELEY CA 94705",Building Permit,"New 1,451 sq ft crawlspace expansion includes a new (2) bedroom ADU w/ separate entrance. Also includes main house family room, laundry and powder room addition, all within the existing footprint.",Corrections List Issued,05/22/2026,"ADU/unit, addition"
B2025-00605,"3001 BENVENUE Ave, BERKELEY CA 94705",Mechanical Permit,(1) Furnace changeout in attic.,Finaled,02/18/2025,
B1993-04315,"3001 BENVENUE AVE, BERKELEY CA 94705",Building Permit,,Closed Expired,05/10/1993,
B2024-03269,"3005 BENVENUE Ave, BERKELEY CA 94705",PermitPermit,(12) Roof Mounted Solar Panels 4.8kW (1) ESS,Finaled,07/02/2024,
24TMP-018432,"3005 BENVENUE Ave, BERKELEY CA 94705",,,,04/08/2024,
PREAPP001052,"3005 BENVENUE Ave, BERKELEY CA 94705",,"Address Assignment for new Accessory Dwelling Unit. New address is 3005 Benvenue Ave, Unit A. See Permit #B2021-05304 for new ADU.",Open,06/15/2023,ADU/unit
ESR-2022-02038,"3005 BENVENUE Ave, BERKELEY CA 94705",,,Closed Expired,09/07/2022,
B2021-05304-REV01,"3005 BENVENUE Ave, BERKELEY CA 94705",Building Revision for B2021-05304,"Revise retaining wall height to 8'-3"" max to reflect the site conditions. No change in valuation.",Issued,06/03/2022,
B2021-05304,"3005 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Mechanical Plumbing Permit,Excavate and create new 854 Sq. Ft. 2 bedroom ADU and shared laundry utility room in existing basement. Reconfigure/enlarge kitchen in main house.,Issued,11/23/2021,"ADU/unit, addition"
B2021-03563,"3005 BENVENUE Ave, BERKELEY CA 94705",Building Electrical Plumbing Permit,Add new powder room with a new window and upgraded electrical to the existing garage. No work is proposed at the main house and the garage is to remain non-habitable. [x.REF Building Permit #B2021-03563],Finaled,08/11/2021,
