source_record_key,grounded_count,convention,source_document,source_ref,corroboration,adjudicated,note
"B2018-01833","1","dwelling","CPRA WorkDescription: ""Convert 291 SqFt garage into a new Accessory Dwelling Unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2425 OREGON"
"B2020-02125","1","dwelling","CPRA WorkDescription: ""Build an new 384 sq. ft. ADU, 48 sq. ft. Closet and Remove unpermitted work as described in NOV, restore to original condition. ** Added Ele""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2543 PIEDMONT"
"B2019-02673","1","dwelling","CPRA WorkDescription: ""Conversion of the medical office (B occupancy) at the main level into residential unit. Consolidation of two existing studio apartments into""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3021 DANA"
"B2016-05172","1","dwelling","CPRA WorkDescription: ""*** MEPs were applied and paid for under this permit(B2016-05172) but counts were for both unit #1 (B2016-01647) & unit #2 (B2016-05172) Con""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3046 TELEGRAPH"
"B2020-02258","1","dwelling","CPRA WorkDescription: ""Convert 260sf of garage to ADU. Door/window changes. New skylights.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3130 LEWISTON"
"B2023-04099","1","dwelling","CPRA WorkDescription: ""Convert basement into JADU-495 sq. ft. studio. Main house remodel, add and remove walls , replace existing windows with smaller size. Remove""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 483 BOYNTON"
"B2020-03543","1","dwelling","CPRA WorkDescription: ""Convert existing 210sf structure to ADU, add 132sf Addition""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 828 CHANNING"
"B2023-05727","1","dwelling","CPRA WorkDescription: ""New JADU addition at rear of (E) building. Interior renovations.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 844 MIRAMAR"
"B2018-03653","1","dwelling","CPRA WorkDescription: ""Conversion of 845 SF commercial space into residential.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 926 CHANNING"
"B2016-00729","1","dwelling","CPRA WorkDescription: ""Convert 703 SqFt of Four (4) Car garage to Single (1) Car garage & Accessory Dwelling Unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3011 COLLEGE"
"B2017-01609","1","dwelling","CPRA WorkDescription: ""Convert (E) detached garage to accessory dwelling unit 305sqft. Permit extended valid thru 12/11/2019""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2630 CALIFORNIA"
"B2017-03522","1","dwelling","CPRA WorkDescription: ""**OWNER OBTAINED ELECT MECH AND PLUMB PERMITS** (N) 3-story house, wood framed on vacant lot.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2704 SHASTA"
"B2016-05928","1","dwelling","CPRA WorkDescription: ""Convert and enlarge existing garage into new 517 sq ft ADU. ** 6/1/17 - Added electrical permit. ** KM""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2801 ASHBY"
"B2021-01192","1","dwelling","CPRA WorkDescription: ""Convert portion of basement into ADU. Including new exterior entry at north side and new windows at north and west front.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2819 BENVENUE"
"B2019-02062","1","dwelling","CPRA WorkDescription: ""Residential remodel; Raise (E) rear yard building and convert (E) basement area to new (244SF) 1 Bedroom dwelling unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2921 OTIS"
"B2018-02318","1","dwelling","CPRA WorkDescription: ""Construction of new ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1234 BURNETT"
"B2017-01506","1","dwelling","CPRA WorkDescription: ""Residential - convert existing garage to habitable space, new kitchen, bathroom, remove garage door and replace with window""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1302 CHANNING"
"B2016-03592","1","dwelling","CPRA WorkDescription: ""Convert existing detached garage to a 665 sq. ft. Accessory Dwelling Unit. Application extension until 8/1/18 final no more ext..mco/pj.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1316 CARLETON"
"B2016-01067","1","dwelling","CPRA WorkDescription: ""(N) one bedroom, one bathroom, accessory dwelling unit in the rear of the yard (728sqft)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1342 HASKELL"
"B2022-02577","1","dwelling","CPRA WorkDescription: ""New three story single family house.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1027 HEINZ"
"B2018-03533","1","dwelling","CPRA WorkDescription: ""1/28/19 - Issued trade (EMP) permits. New construction of detached ADU. Wood framed 380sq ft & new wood fence""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1407 CYPRESS"
"B2016-03935","1","dwelling","CPRA WorkDescription: ""Convert a 336 sq. ft. garage to an Accessory Dwelling Unit. Rebuild one wall that is located over the property line.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1234 ALLSTON"
"B2017-02788","1","dwelling","CPRA WorkDescription: ""Construct new (1794 SF home in front of property.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1222 SIXTY 6TH"
"B2020-03820","1","dwelling","CPRA WorkDescription: ""Legalize ADU. Updated ventilation and HVAC. New entrance door location for greater accessibility.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1071 PAGE"
"B2020-02014","1","dwelling","CPRA WorkDescription: ""9/17/2020: Scope of work changed to convert existing garage to Accessory Dwelling Unit (ADU)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1112 FRESNO"
"B2017-03440","1","dwelling","CPRA WorkDescription: ""New ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1121 DELAWARE"
"B2017-01688","1","dwelling","CPRA WorkDescription: ""Renovate kitchen, bathroom. (N) mechanical, electrical, plumbing and legalize garage conversion into ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1157 AMADOR"
"B2017-04626","1","dwelling","CPRA WorkDescription: ""Convert 400sf garage into a ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1204 BLAKE"
"B2021-00369","1","dwelling","CPRA WorkDescription: ""Install 663 sq ft manufactured home as an accessory dwelling unit""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1208 PERALTA"
"B2019-04580","1","dwelling","CPRA WorkDescription: ""Remodeling of entire residence: main level living area and demolition of the slabs of the lower level basement area 10 inches to create a 8 ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1222 EVELYN"
"B2016-02850","1","dwelling","CPRA WorkDescription: ""Addition of in-law unit (448 sqft)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1517 HOLLY"
"B2017-03352","1","dwelling","CPRA WorkDescription: ""(N) 3-story residential home 3800sqft""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 0 QUEENS"
"B2019-04441","1","dwelling","CPRA WorkDescription: ""Garage conversion to ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1606 CHESTNUT"
"B2017-04815","1","dwelling","CPRA WorkDescription: ""Convert existing 400 SqFt garage to in-law unit. Relocate drive way to the left side of the lot. Upgrade electrical panel from 100A to 200A ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1538 ACTON"
"B2020-04509","1","dwelling","CPRA WorkDescription: ""Convert 253 SqFt attached garage to Junior Accessory Dwelling Unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1535 JUANITA"
"B2019-02435","1","dwelling","CPRA WorkDescription: ""Convert existing Garage into ADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1612 BUENA"
"B2020-04513","1","dwelling","CPRA WorkDescription: ""**Contractor added E,M,Ps.** Convert existing single family house into a conversion JADU and residence. Create a new kitchen and close off s""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1631 CHANNING"
"B2018-00101","1","dwelling","CPRA WorkDescription: ""Covert 580 SqFt garage to accessory dwelling unit with a 336 SqFt addition.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1440 PARKER"
"B2018-02623","2","dwelling","CPRA WorkDescription: ""Building A, 2811-2815 Channing Way and site work- convert and remodel existing 11 Bedroom Bldg into 3 separate units. Added conditioned spac""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2815 CHANNING — CHANNING AMENDED to net +2 (prior unit count unknowable from text)"
"B2021-01148","1","dwelling","CPRA WorkDescription: ""(N) detached 760 sq ft accessory dwelling unit. Property in Fire Zone 2.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2718 DURANT"
"B2021-03440","2","dwelling","CPRA WorkDescription: ""Conversion of ground floor restaurant space into 2 dwelling units, while maintaining and retaining the storefront area along Euclid avenue. ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1828 EUCLID"
"B2017-02082","2","dwelling","CPRA WorkDescription: ""Legalize two(2) residential units that were converted without Permits from original commercial. See use permit ZP2015-0184 conditions on 2nd""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3353 M L KING JR"
"B2017-02402","1","dwelling","CPRA WorkDescription: ""New 1883 SF Rear House""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 908 CEDAR"
"B2016-05191","1","dwelling","CPRA WorkDescription: ""Convert (E) 618 SQ FT Garage to ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2115 ROOSEVELT"
"B2017-02712","1","dwelling","CPRA WorkDescription: ""New sinqle familv residence, 686 square feet with an 80 square foot entry patio, connected to the existing walkway on the east side of the m""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2075 EUNICE"
"B2020-01409","1","dwelling","CPRA WorkDescription: ""ADDITION TO REAR AND NEW SECOND FLOOR RESULTING IN A NEW UNIT. CREATING A DUPLEX. Separate structure under B2020-01452.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2325 6TH"
"B2019-01597","1","dwelling","CPRA WorkDescription: ""Add new home on the rear of lot and driveway improvements in conjunction with B2019-01599.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2145 GRANT"
"B2020-03174","1","dwelling","CPRA WorkDescription: ""Convert existing garage and shop into a one-bedroom ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2220 MCGEE"
"B2019-04085","1","dwelling","CPRA WorkDescription: ""Legalizing of dwelling unit at the ground floor, including renovation of kitchen and bathroom, installation of new window in ground floor dw""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1943 HASTE"
"B2022-05902","1","dwelling","CPRA WorkDescription: ""986 sq ft HUD/HDC approved manufactured unit to be installed on permanent foundation.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1655 10TH"
"B2017-01113","1","dwelling","CPRA WorkDescription: ""Converting 300sqft garage to 300sqft Accessory Dwelling Unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1729 VIRGINIA"
"B2021-00818","1","dwelling","CPRA WorkDescription: ""Convert Accessory Structure to Accessory Dwelling Unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1813 PARKER"
"B2017-01124","1","dwelling","CPRA WorkDescription: ""Convert Existing Garage into a by right accessory dwelling unit""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1835 MONTEREY"
"B2019-01573","1","dwelling","CPRA WorkDescription: ""Proposed addition to main residence totaling 1,135 SF. Conversion of existing 3-car garage into habitable space. New A.D.U. at portion of lo""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1884 THOUSAND OAKS"
"B2017-02331","1","dwelling","CPRA WorkDescription: ""1742 SF lower level addition to (E) home to include new ADU. Remodel Existing first floor of 1 story residence. Add new partially below grad""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1912 MONTEREY"
"B2021-04655","1","dwelling","CPRA WorkDescription: ""Convert existing partially below grade storage utility space to habitable space. New area merged with existing studio to create an attached ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2432 OREGON"
"B2021-03009","1","dwelling","CPRA WorkDescription: ""New 665 sq ft. HCD/HUD approved manufactured unit to be installed on permanent foundation.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3038 BENVENUE"
"B2019-05540","1","dwelling","CPRA WorkDescription: ""Alter and enlarge an existing 2,894 sq ft, two story, single family dwelling by raising the building 2 ft 7 in, constructing a 1,585 sq ft n""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3108 DEAKIN"
"B2019-05267","1","dwelling","CPRA WorkDescription: ""EXPAND AND CONVERT EXISTING GARAGE TO BE AN ACCESSORY DWELLING UNIT.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3139 ETON"
"B2021-01404","1","dwelling","CPRA WorkDescription: ""Convert (E) garage into 186 SF J.A.D.U. Remove garage door and add entry door and window. Replace (E) north window. New sliding door to (E) ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 6450 MYSTIC"
"B2020-01218","1","dwelling","CPRA WorkDescription: ""Renovation of (E) Garage /Storage into a (N) first floor Studio Apartment. Renovation of (E) second floor Studio Apartment. Addition of prev""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 840 DELAWARE"
"B2021-00448","1","dwelling","CPRA WorkDescription: ""Construction of a new accessory dwelling (542sqft) unit at rear yard. Existing front house to remain""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 3020 HARPER"
"B2023-01505","1","dwelling","CPRA WorkDescription: ""JADU conversion- addition of efficiency kitchen counter. Fire zone 2""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 30 ALAMO"
"B2022-04896","1","dwelling","CPRA WorkDescription: ""Convert portion of lower level into JADU""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2501 MABEL"
"B2019-02700","1","dwelling","CPRA WorkDescription: ""Build detached 760 SF Accessory Dwelling Unit (ADU)""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2633 ETNA"
"B2018-00483","1","dwelling","CPRA WorkDescription: ""Remodel (E) workshop to in law unit by adding a new kitchen, new bathroom and, new laundry. No new sqft""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2707 HILLEGASS"
"B2020-01591","2","dwelling","CPRA WorkDescription: ""Converting two attached carports to ADU's""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2801 COLLEGE"
"B2020-00547","1","dwelling","CPRA WorkDescription: ""Add to existing art studio to create a new Accessory Dwelling Unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2823 CHERRY"
"B2016-02666","1","dwelling","CPRA WorkDescription: ""Remove (E) deck & convert part of the basement (371 sqft) and build a (375sqft)to create an ADU. Added Additional E,M, pressure test include""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 2954 RUSSELL"
"B2021-02985","1","dwelling","CPRA WorkDescription: ""Convert second floor to Junior ADU, including change of laundry room space to kitchen. (Change in unit definition only from single family to""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1635 WOOLSEY"
"B2020-00441","1","dwelling","CPRA WorkDescription: ""Addition to rear unit to create new ADU.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1275 HEARST"
"B2022-03366","1","dwelling","CPRA WorkDescription: ""Convert (E) garage into (N) 354 SF Junior ADU. Add barn door to separate units and add kitchenette. Garage floor and attic floor above were ""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 131 AVENIDA"
"B2019-03350","1","dwelling","CPRA WorkDescription: ""Convert 466 SqFt garage into an Accessory Dwelling Unit.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1316 MILVIA"
"B2018-01207","1","dwelling","CPRA WorkDescription: ""Convert a portion of existing artist studio into an accessory dwelling unit in the rear yard""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1340 PERALTA"
"B2017-00340","1","dwelling","CPRA WorkDescription: ""Renovate (E) Crawl Space of (1) Story to Make (600 SQ FT) ADU. To Include New Bedroom, Bathroom, kitchen and Laundry. 8/2/17 - Electrical is""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1350 CARLOTTA"
"B2022-03080","1","dwelling","CPRA WorkDescription: ""1000 SF HUD/HCD approved Manufactured unit to be installed on permanent foundation""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1404 BLAKE"
"B2020-02776","1","dwelling","CPRA WorkDescription: ""Legalizing the conversion and addition to garage into an Accessory Dwelling Unit (ADU) within the required side yard setback.""","CPRA permit record (primary)","city A2 enumeration (2026-07-03 residual decomposition); 3-agent description adjudication + CC verify pass; John approved as amended after two 15-row sample audits","2026-07-03","ADU-conversion recall batch (RULE-9 inspect queue worked); address 1407 KAINS"
